,id,loglin,param,value
151,22,lin,tlag,0
152,23,log,N0,-2.09691001300804
153,23,log,Nmax,-0.473660722610156
154,23,log,rmax,0.0373982210279711
155,23,log,tlag,0
156,23,lin,N0,0.00800000000000023
157,23,lin,Nmax,0.336
158,23,lin,rmax,0.05666800701624994
159,23,lin,tlag,0
160,24,log,N0,-1.57403126772772
161,24,log,Nmax,-0.0661753960318878
162,24,log,rmax,0.3286751370784908
163,24,log,tlag,0.31430599675162113
164,24,lin,N0,0.0266666666666668
165,24,lin,Nmax,0.858666666666667
166,24,lin,rmax,0.4024494489203024
167,24,lin,tlag,0
168,25,log,N0,-1.7958800173440803
169,25,log,Nmax,-0.154075519237961
170,25,log,rmax,0.07900339032749855
171,25,log,tlag,0
172,25,lin,N0,0.016
173,25,lin,Nmax,0.701333333333334
174,25,lin,rmax,0.14597239282017102
175,25,lin,tlag,3.5550834563843408
176,26,log,N0,-1.9719712763997501
177,26,log,Nmax,-0.0998150036514635
178,26,log,rmax,0.08365751792811098
179,26,log,tlag,0
180,26,lin,N0,0.0106666666666668
181,26,lin,Nmax,0.794666666666667
182,26,lin,rmax,0.1342445367161547
183,26,lin,tlag,3.2514969469148154
184,27,log,N0,-2.27300127206373
185,27,log,Nmax,-0.761117911084862
186,27,log,rmax,0.03387269433891952
187,27,log,tlag,0
188,27,lin,N0,0.00533333333333341
189,27,lin,Nmax,0.17333333333333403
190,27,lin,rmax,0.053636185997144564
191,27,lin,tlag,0
192,28,log,N0,-2.09557474836851
193,28,log,Nmax,-0.162948376186391
194,28,log,rmax,0.09316788217534082
195,28,log,tlag,0
196,28,lin,N0,0.00802463433410305
197,28,lin,Nmax,0.6871501154734411
198,28,lin,rmax,0.12803104074408603
199,28,lin,tlag,0
200,29,log,N0,-2.267024648175
201,29,log,Nmax,-0.5231061491077
202,29,log,rmax,0.06540554823979203
203,29,log,tlag,0
204,29,lin,N0,0.00540723633564255
205,29,lin,Nmax,0.299842956120092
206,29,lin,rmax,0.12137860581023631
207,29,lin,tlag,3.2054575375921264
208,30,log,N0,-2.0942435765005403
209,30,log,Nmax,-0.542860787124135
210,30,log,rmax,0.057651068668853535
211,30,log,tlag,0
212,30,lin,N0,0.00804926866820632
213,30,lin,Nmax,0.286509622786759
214,30,lin,rmax,0.10758894942795481
215,30,lin,tlag,0
216,31,log,N0,-2.09557474836851
217,31,log,Nmax,-0.605731700063293
218,31,log,rmax,0.03723547401146371
219,31,log,tlag,0
220,31,lin,N0,0.00802463433410305
221,31,lin,Nmax,0.24789530408006102
222,31,lin,rmax,0.07423857498108005
223,31,lin,tlag,0
224,32,log,N0,-2.56215915310018
225,32,log,Nmax,-0.6447657675151041
226,32,log,rmax,0.36953014877386187
227,32,log,tlag,0
228,32,lin,N0,0.00274056966897596
229,32,lin,Nmax,0.226586605080831
230,32,lin,rmax,0.4748971468058902
231,32,lin,tlag,1.1821683776798337
232,33,log,N0,-2.27817778319948
233,33,log,Nmax,-0.586640873202232
234,33,log,rmax,0.05837338183711606
235,33,log,tlag,0
236,33,lin,N0,0.00527014078278176
237,33,lin,Nmax,0.259035404535515
238,33,lin,rmax,0.09534813867775548
239,33,lin,tlag,0
240,34,log,N0,-2.58123719602319
241,34,log,Nmax,-0.484302773706776
242,34,log,rmax,0.05147777506723676
243,34,log,tlag,0
244,34,lin,N0,0.00262278568094132
245,34,lin,Nmax,0.327866637183362
246,34,lin,rmax,0.07031184379730586
247,34,lin,tlag,0
248,35,log,N0,-2.27615780522344
249,35,log,Nmax,-0.0683067204327198
250,35,log,rmax,0.9763575455514473
251,35,log,tlag,0
252,35,lin,N0,0.00529471020368089
253,35,lin,Nmax,0.8544630353062579
254,35,lin,rmax,0.7321004329309669
255,35,lin,tlag,0
256,36,log,N0,-1.53524583932982
257,36,log,Nmax,-0.139786744219367
258,36,log,rmax,0.11177050023534296
259,36,log,tlag,4.372684238239802
260,36,lin,N0,0.0291577602515911
261,36,lin,Nmax,0.724791774157884
262,36,lin,rmax,0.24483080826768727
263,36,lin,tlag,4.344576976822327
264,37,log,N0,-2.5792077788634304
265,37,log,Nmax,-0.196062245836041
266,37,log,rmax,0.0833235370210237
267,37,log,tlag,0
268,37,lin,N0,0.0026350703913911
269,37,lin,Nmax,0.6367042578806421
270,37,lin,rmax,0.09137223780138311
271,37,lin,tlag,5.850400098538475
272,38,log,N0,-2.58123719602319
273,38,log,Nmax,-0.19404332743391298
274,38,log,rmax,0.11454754737995046
275,38,log,tlag,0
276,38,lin,N0,0.00262278568094132
277,38,lin,Nmax,0.6396710154541669
278,38,lin,rmax,0.14927345715785545
279,38,lin,tlag,4.796641109236925
280,39,log,N0,-2.57403126772784
281,39,log,Nmax,-0.123231220421322
282,39,log,rmax,0.10009853668102417
283,39,log,tlag,0
284,39,lin,N0,0.00266666666666593
285,39,lin,Nmax,0.752954580446496
286,39,lin,rmax,0.13199784891532956
287,39,lin,tlag,1.9289715715205407
288,40,log,N0,-2.27350305661632
289,40,log,Nmax,-0.7529248745849519
290,40,log,rmax,0.03744851462097402
291,40,log,tlag,0
292,40,lin,N0,0.00532717474980693
293,40,lin,Nmax,0.176634334103155
294,40,lin,rmax,0.06904943009713017
295,40,lin,tlag,0
296,41,log,N0,-2.27350305661632
297,41,log,Nmax,-0.642787201533015
298,41,log,rmax,0.053370631574455284
299,41,log,tlag,1.2772934301832026
300,41,lin,N0,0.00532717474980693
301,41,lin,Nmax,0.22762124711316395
302,41,lin,rmax,0.06881723472574618
303,41,lin,tlag,0.11205161355672294
304,42,log,N0,-1.79571288458011
305,42,log,Nmax,-0.11109751978811999
306,42,log,rmax,0.3877018979612823
307,42,log,tlag,0
308,42,lin,N0,0.0160061585835245
309,42,lin,Nmax,0.7742879137798299
310,42,lin,rmax,0.5645632568554354
311,42,lin,tlag,0
312,43,log,N0,-2.57403126772777
313,43,log,Nmax,-0.655170745650499
314,43,log,rmax,0.04677817307807653
315,43,log,tlag,0
316,43,lin,N0,0.00266666666666637
317,43,lin,Nmax,0.22122247882986804
318,43,lin,rmax,0.06427135122449786
319,43,lin,tlag,4.350116330002289
320,44,log,N0,-1.7958800173441
321,44,log,Nmax,-0.257179960825342
322,44,log,rmax,0.060662300677527876
323,44,log,tlag,0
324,44,lin,N0,0.0159999999999991
325,44,lin,Nmax,0.553120862201693
326,44,lin,rmax,0.1037026716479291
327,44,lin,tlag,0
328,45,log,N0,-2.098066590208
329,45,log,Nmax,-0.45461391372181104
330,45,log,rmax,0.22213269119628384
331,45,log,tlag,1.7949329360811561
332,45,lin,N0,0.00797872340425521
333,45,lin,Nmax,0.351063829787234
334,45,lin,rmax,0.16421626714532236
335,45,lin,tlag,0.36794983496604794
336,46,log,N0,-1.53379515976944
337,46,log,Nmax,-0.0213048182837867
338,46,log,rmax,0.0541069387256892
339,46,log,tlag,0
340,46,lin,N0,0.0292553191489362
341,46,lin,Nmax,0.952127659574468
342,46,lin,rmax,0.09326587214507531
343,46,lin,tlag,0.1313734943545258
344,47,log,N0,-1.9731278535997
345,47,log,Nmax,-0.1249387366083
346,47,log,rmax,0.16330221360955618
347,47,log,tlag,1.8992225744029907
348,47,lin,N0,0.0106382978723405
349,47,lin,Nmax,0.75
350,47,lin,rmax,0.17266166499892857
351,47,lin,tlag,1.3174661212203376
352,48,log,N0,-2.27415784926369
353,48,log,Nmax,-0.0673319732318303
354,48,log,rmax,0.19875373936882987
355,48,log,tlag,0.41016879754896435
356,48,lin,N0,0.00531914893617014
357,48,lin,Nmax,0.8563829787234041
358,48,lin,rmax,0.19480146781121035
359,48,lin,tlag,1.5065232671253752
360,49,log,N0,-2.27415784926369
361,49,log,Nmax,-0.541764089440711
362,49,log,rmax,0.22215982797260983
363,49,log,tlag,1.6494077581038353
364,49,lin,N0,0.00531914893617014
365,49,lin,Nmax,0.287234042553192
366,49,lin,rmax,0.2980007074816876
367,49,lin,tlag,1.044426665389403
368,50,log,N0,-1.79847572593037
369,50,log,Nmax,-0.0985154029743564
370,50,log,rmax,0.35973315821862967
371,50,log,tlag,0.4867415683338941
372,50,lin,N0,0.0159046557740703
373,50,lin,Nmax,0.797048221451405
374,50,lin,rmax,0.48727242320522013
375,50,lin,tlag,0.01602665002940498
376,51,log,N0,-1.97470986851487
