"","loglin","param","ID","value"
"138","log","Nmax",18,0.0121739130434788
"139","log","tlag",18,143.331587218439
"140","log","rmax",18,2.76854915353842e-05
"141","lin","N0",18,0.00347826086956537
"142","lin","Nmax",18,0.0121739130434788
"143","lin","tlag",18,143.331587218439
"144","lin","rmax",18,1.1099777979262e-07
"145","log","N0",19,0.0160678304485264
"146","log","Nmax",19,0.319563489373764
"147","log","tlag",19,45.8927702157291
"148","log","rmax",19,0.00164918687646981
"149","lin","N0",19,0.0160678304485264
"150","lin","Nmax",19,0.319563489373764
"151","lin","tlag",19,239.483137897675
"152","lin","rmax",19,0.000504265096119417
"153","log","N0",20,0.00800000000000023
"154","log","Nmax",20,0.336
"155","log","tlag",20,23.094688221709
"156","log","rmax",20,0.00157912225135608
"157","lin","N0",20,0.00800000000000023
"158","lin","Nmax",20,0.336
"159","lin","tlag",20,23.094688221709
"160","lin","rmax",20,0.000455991334955992
"161","log","N0",21,0.0266666666666668
"162","log","Nmax",21,0.858666666666667
"163","log","tlag",21,4.6189376443418
"164","log","rmax",21,0.00196589102502493
"165","lin","N0",21,0.0266666666666668
"166","lin","Nmax",21,0.858666666666667
"167","lin","tlag",21,4.6189376443418
"168","lin","rmax",21,0.00149279036814227
"169","log","N0",22,0.016
"170","log","Nmax",22,0.701333333333334
"171","log","tlag",22,8.31408775981522
"172","log","rmax",22,0.000611291378065181
"173","lin","N0",22,0.016
"174","lin","Nmax",22,0.701333333333334
"175","lin","tlag",22,8.31408775981522
"176","lin","rmax",22,-0.00019819077555376
"177","log","N0",23,0.0106666666666668
"178","log","Nmax",23,0.794666666666667
"179","log","tlag",23,432.332563510393
"180","log","rmax",23,0.000242494062216022
"181","lin","N0",23,0.0106666666666668
"182","lin","Nmax",23,0.794666666666667
"183","lin","tlag",23,432.332563510393
"184","lin","rmax",23,-0.000441508333847777
"185","log","N0",24,0.00533333333333341
"186","log","Nmax",24,0.173333333333334
"187","log","tlag",24,407.390300230947
"188","log","rmax",24,0.00121973706013826
"189","lin","N0",24,0.00533333333333341
"190","lin","Nmax",24,0.173333333333334
"191","lin","tlag",24,24.0184757505774
"192","lin","rmax",24,0.000116563402321988
"193","log","N0",25,0.00802463433410305
"194","log","Nmax",25,0.687150115473441
"195","log","tlag",25,310.392609699769
"196","log","rmax",25,0.00185881396610364
"197","lin","N0",25,0.00802463433410305
"198","lin","Nmax",25,0.687150115473441
"199","lin","tlag",25,-1.13686837721616e-13
"200","lin","rmax",25,0.00066860001809042
"201","log","N0",26,0.00540723633564255
"202","log","Nmax",26,0.299842956120092
"203","log","tlag",26,1.84757505773666
"204","log","rmax",26,0.00148993240903285
"205","lin","N0",26,0.00540723633564255
"206","lin","Nmax",26,0.299842956120092
"207","lin","tlag",26,1.84757505773666
"208","lin","rmax",26,0.00014008484130272
"209","log","N0",27,0.00804926866820632
"210","log","Nmax",27,0.286509622786759
"211","log","tlag",27,143.187066974596
"212","log","rmax",27,0.00152921356858973
"213","lin","N0",27,0.00804926866820632
"214","lin","Nmax",27,0.286509622786759
"215","lin","tlag",27,11.0854503464203
"216","lin","rmax",27,0.000344589078754967
"217","log","N0",28,0.00802463433410305
"218","log","Nmax",28,0.247895304080061
"219","log","tlag",28,216.166281755197
"220","log","rmax",28,0.00075688910626846
"221","lin","N0",28,0.00802463433410305
"222","lin","Nmax",28,0.247895304080061
"223","lin","tlag",28,8.31408775981527
"224","lin","rmax",28,9.54019455786796e-05
"225","log","N0",29,0.00274056966897596
"226","log","Nmax",29,0.226586605080831
"227","log","tlag",29,144.110854503464
"228","log","rmax",29,0.000806923830377198
"229","lin","N0",29,0.00274056966897596
"230","lin","Nmax",29,0.226586605080831
"231","lin","tlag",29,9.23787528868354
"232","lin","rmax",29,2.53132896267033e-05
"233","log","N0",30,0.00527014078278176
"234","log","Nmax",30,0.259035404535515
"235","log","tlag",30,10.9874450259207
"236","log","rmax",30,0.000878345233890548
"237","lin","N0",30,0.00527014078278176
"238","lin","Nmax",30,0.259035404535515
"239","lin","tlag",30,10.9874450259207
"240","lin","rmax",30,8.85122091977565e-05
"241","log","N0",31,0.00262278568094132
"242","log","Nmax",31,0.327866637183362
"243","log","tlag",31,8.22584211690132
"244","log","rmax",31,0.000742040236974594
"245","lin","N0",31,0.00262278568094132
"246","lin","Nmax",31,0.327866637183362
"247","lin","tlag",31,8.22584211690132
"248","lin","rmax",31,-3.0752628364754e-05
"249","log","N0",32,0.00529471020368089
"250","log","Nmax",32,0.854463035306258
"251","log","tlag",32,-0.0786221468759862
"252","log","rmax",32,0.00188503480481635
"253","lin","N0",32,0.00529471020368089
"254","lin","Nmax",32,0.854463035306258
"255","lin","tlag",32,3.43971892582491
"256","lin","rmax",32,0.00136006818174361
"257","log","N0",33,0.0291577602515911
"258","log","Nmax",33,0.724791774157884
"259","log","tlag",33,9.13982457433477
"260","log","rmax",33,0.00102433871691848
"261","lin","N0",33,0.0291577602515911
"262","lin","Nmax",33,0.724791774157884
"263","lin","tlag",33,9.13982457433477
"264","lin","rmax",33,0.000160475181125956
"265","log","N0",34,0.0026350703913911
"266","log","Nmax",34,0.636704257880642
"267","log","tlag",34,69.3250780079114
"268","log","rmax",34,0.00223909429715261
"269","lin","N0",34,0.0026350703913911
"270","lin","Nmax",34,0.636704257880642
"271","lin","tlag",34,69.3250780079114
"272","lin","rmax",34,0.00041262337180703
"273","log","N0",35,0.00262278568094132
"274","log","Nmax",35,0.639671015454167
"275","log","tlag",35,0.91889634161322
"276","log","rmax",35,0.00165263138167348
"277","lin","N0",35,0.00262278568094132
"278","lin","Nmax",35,0.639671015454167
"279","lin","tlag",35,7.38065403798433
"280","lin","rmax",35,-2.00387569440123e-06
"281","log","N0",36,0.00266666666666593
"282","log","Nmax",36,0.752954580446496
"283","log","tlag",36,143.187066974596
"284","log","rmax",36,0.00157751951175105
"285","lin","N0",36,0.00266666666666593
"286","lin","Nmax",36,0.752954580446496
"287","lin","tlag",36,2.77136258660494
"288","lin","rmax",36,0.000110309915829151
"289","log","N0",37,0.00532717474980693
"290","log","Nmax",37,0.176634334103155
"291","log","tlag",37,6.46651270207826
"292","log","rmax",37,0.000651671398045553
"293","lin","N0",37,0.00532717474980693
"294","lin","Nmax",37,0.176634334103155
"295","lin","tlag",37,6.46651270207826
"296","lin","rmax",37,1.89499589793516e-05
"297","log","N0",38,0.00532717474980693
"298","log","Nmax",38,0.227621247113164
"299","log","tlag",38,-0.923787528868615
"300","log","rmax",38,0.00194924470131064
"301","lin","N0",38,0.00532717474980693
"302","lin","Nmax",38,0.227621247113164
"303","lin","tlag",38,48.0369515011546
"304","lin","rmax",38,0.0003039468921719
"305","log","N0",39,0.0160061585835245
"306","log","Nmax",39,0.77428791377983
"307","log","tlag",39,0.923787528868161
"308","log","rmax",39,0.0017077007411646
"309","lin","N0",39,0.0160061585835245
"310","lin","Nmax",39,0.77428791377983
"311","lin","tlag",39,0.923787528868161
"312","lin","rmax",39,0.00124981942224794
"313","log","N0",40,0.00266666666666637
"314","log","Nmax",40,0.221222478829868
"315","log","tlag",40,10.1616628175517
"316","log","rmax",40,0.00291631370560405
"317","lin","N0",40,0.00266666666666637
"318","lin","Nmax",40,0.221222478829868
"319","lin","tlag",40,10.1616628175517
"320","lin","rmax",40,0.000471745722943351
"321","log","N0",41,0.0159999999999991
"322","log","Nmax",41,0.553120862201693
"323","log","tlag",41,3.69515011547321
"324","log","rmax",41,0.00140173772695103
"325","lin","N0",41,0.0159999999999991
"326","lin","Nmax",41,0.553120862201693
"327","lin","tlag",41,3.69515011547321
"328","lin","rmax",41,0.000300321366866775
"329","log","N0",42,0.00797872340425521
"330","log","Nmax",42,0.351063829787234
"331","log","tlag",42,145.054447981236
"332","log","rmax",42,0.00616895188411183
"333","lin","N0",42,0.00797872340425521
"334","lin","Nmax",42,0.351063829787234
"335","lin","tlag",42,1.94379293013904
"336","lin","rmax",42,0.00174650272714736
"337","log","N0",43,0.0292553191489362
"338","log","Nmax",43,0.952127659574468
"339","log","tlag",43,117.556960964986
"340","log","rmax",43,0.0047070366954633
"341","lin","N0",43,0.0292553191489362
"342","lin","Nmax",43,0.952127659574468
"343","lin","tlag",43,3.82015412966996
"344","lin","rmax",43,0.00374953277202467
"345","log","N0",44,0.0106382978723405
"346","log","Nmax",44,0.75
"347","log","tlag",44,152.952755905512
"348","log","rmax",44,0.00622323282678349
"349","lin","N0",44,0.0106382978723405
"350","lin","Nmax",44,0.75
"351","lin","tlag",44,152.952755905512
"352","lin","rmax",44,0.00290760853308774
"353","log","N0",45,0.00531914893617014
"354","log","Nmax",45,0.856382978723404
"355","log","tlag",45,141.184453007204
"356","log","rmax",45,0.00719233985987795
"357","lin","N0",45,0.00531914893617014
"358","lin","Nmax",45,0.856382978723404
"359","lin","tlag",45,141.184453007204
"360","lin","rmax",45,0.00268657399447467
"361","log","N0",46,0.00531914893617014
"362","log","Nmax",46,0.287234042553192
"363","log","tlag",46,1.295861953426
"364","log","rmax",46,0.00748765367128218
"365","lin","N0",46,0.00531914893617014
"366","lin","Nmax",46,0.287234042553192
"367","lin","tlag",46,16.6527056458368
"368","lin","rmax",46,0.00160031941567433
"369","log","N0",47,0.0159046557740703
"370","log","Nmax",47,0.797048221451405
"371","log","tlag",47,2.20907297830371
"372","log","rmax",47,0.00825738573398042
"373","lin","N0",47,0.0159046557740703
"374","lin","Nmax",47,0.797048221451405
"375","lin","tlag",47,2.20907297830371
"376","lin","rmax",47,0.00471119847690793
"377","log","N0",48,0.0105996159862718
"378","log","Nmax",48,0.253281643202068
"379","log","tlag",48,2.76134122287959
"380","log","rmax",48,0.00567454296617738
"381","lin","N0",48,0.0105996159862718
"382","lin","Nmax",48,0.253281643202068
"383","lin","tlag",48,2.76134122287959
"384","lin","rmax",48,0.00103403161519697
"385","log","N0",49,0.00531027158246111
"386","log","Nmax",49,0.310726748596571
"387","log","tlag",49,6.90335305719913
"388","log","rmax",49,0.00858268426187829
"389","lin","N0",49,0.00531027158246111
"390","lin","Nmax",49,0.310726748596571
"391","lin","tlag",49,6.90335305719913
"392","lin","rmax",49,0.00224526999658618
"393","log","N0",50,0.0159203511580579
"394","log","Nmax",50,0.198033891565824
"395","log","tlag",50,-0.276134122288056
"396","log","rmax",50,0.00285073050890951
"397","lin","N0",50,0.0159203511580579
"398","lin","Nmax",50,0.198033891565824
"399","lin","tlag",50,6.9033530571991
"400","lin","rmax",50,0.000434194858223051
"401","log","N0",51,0.00531027158246111
"402","log","Nmax",51,0.409780316942121
