"","id","bet.AICc","bet.AIC","bet.BIC","bet.rsq"
"226",298,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"227",300,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"228",301,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"229",303,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"230",316,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"231",318,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"232",321,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"233",322,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"234",323,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"235",326,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"236",327,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"237",328,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"238",330,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"239",331,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"240",332,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"241",333,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"242",334,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"243",340,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"244",341,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"245",342,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"246",343,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"247",344,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"248",345,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"249",346,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"250",347,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"251",348,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"252",350,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"253",351,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"254",352,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"255",353,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"256",354,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"257",355,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"258",356,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"259",357,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"260",358,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"261",360,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"262",361,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"263",364,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"264",366,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"265",367,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"266",368,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"267",369,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"268",370,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"269",371,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"270",372,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"271",373,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"272",374,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"273",375,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"274",376,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"275",377,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"276",378,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"277",379,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"278",380,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"279",381,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"280",382,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"281",383,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"282",384,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"283",385,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"284",386,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"285",387,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"286",388,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"287",389,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"288",391,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"289",392,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"290",393,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"291",398,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"292",399,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"293",403,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"294",404,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"295",405,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"296",408,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"297",409,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"298",410,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"299",411,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"300",414,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"301",415,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"302",417,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"303",419,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"304",420,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"305",421,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"306",422,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"307",423,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"308",424,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"309",425,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"310",430,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"311",431,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"312",432,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"313",435,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"314",436,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"315",438,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"316",440,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"317",441,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"318",448,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"319",449,"gompertz_model","gompertz_model","gompertz_model","gompertz_model"
"320",449,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"321",450,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"322",450,"baranyi_model","baranyi_model","baranyi_model","baranyi_model"
"323",451,"gompertz_model","gompertz_model","gompertz_model","gompertz_model"
"324",451,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"325",452,"gompertz_model","gompertz_model","gompertz_model","gompertz_model"
"326",452,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"327",453,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"328",454,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"329",454,"baranyi_model","baranyi_model","baranyi_model","baranyi_model"
"330",455,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"331",456,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"332",457,"gompertz_model","gompertz_model","gompertz_model","gompertz_model"
"333",457,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"334",458,"gompertz_model","gompertz_model","gompertz_model","gompertz_model"
"335",458,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"336",460,"gompertz_model","gompertz_model","gompertz_model","gompertz_model"
"337",460,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"338",461,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"339",461,"baranyi_model","baranyi_model","baranyi_model","baranyi_model"
"340",462,"gompertz_model","gompertz_model","gompertz_model","gompertz_model"
"341",462,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"342",463,"gompertz_model","gompertz_model","gompertz_model","gompertz_model"
"343",463,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"344",464,"gompertz_model","gompertz_model","gompertz_model","gompertz_model"
"345",464,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"346",465,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"347",466,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"348",467,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"349",468,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"350",469,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"351",470,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"352",471,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"353",472,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"354",473,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"355",474,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"356",476,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"357",478,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"358",479,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"359",480,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"360",481,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"361",482,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"362",483,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"363",484,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"364",485,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"365",486,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"366",487,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"367",488,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"368",489,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"369",490,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"370",491,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"371",492,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"372",493,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"373",494,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"374",495,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"375",496,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"376",497,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"377",498,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"378",499,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"379",500,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"380",501,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"381",502,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"382",503,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"383",504,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"384",505,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"385",506,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"386",507,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"387",508,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"388",509,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"389",510,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"390",511,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"391",512,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"392",513,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"393",514,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"394",515,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"395",516,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"396",517,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"397",518,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"398",519,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"399",520,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"400",521,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"401",522,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"402",523,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"403",524,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"404",525,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"405",526,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"406",527,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"407",528,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"408",529,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"409",530,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"410",532,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"411",533,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
