Bacillus_circulans,,Lactobacillus_delbrukii,,Escherichia_coli,,Esherichia_coli,,Areobacter_aerogenes,,Sporotrichum_carnis,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
53.64823104003059,4.619589977220956,48.75264826289884,4.643507972665148,40.36215492935311,4.587699316628702,40.64123803303758,4.619589977220956,31.060818452618,4.619589977220956,26.37470729725856,4.659453302961276
48.82608280102586,4.468109339407745,44.35103620752824,4.444191343963554,35.88949774598978,4.444191343963554,37.70513086002836,4.571753986332574,21.14078404511207,4.117312072892938,21.271564426461936,4.571753986332574
45.754257132389256,4.212984054669704,40.5807063096357,4.149202733485193,31.144607101326926,3.925968109339408,34.42542650970898,4.220956719817767,15.903356324768637,3.7505694760820045,16.107252656227608,4.045558086560364
44.57022476384664,3.9738041002277904,35.8359749589818,3.623006833712984,26.329627092725048,3.415717539863326,29.253309333035993,4.085421412300684,10.529572932762008,3.2084282460136673,10.660990490147675,3.630979498861048
40.527342816636676,3.3200455580865604,31.024021536550016,2.96127562642369,21.301830288162876,3.056947608200456,27.510951463115482,3.7904328018223232,5.02723927553086,2.100227790432802,4.938512512544413,3.041002277904328
35.92263089985186,2.785876993166287,27.12450419739715,2.132118451025057,19.27847778645046,2.825740318906606,25.34901317361455,3.495444191343964,-1.314892396896937,1.023917995444191,-1.2675820762380994,2.156036446469248
,,23.792392118132447,0.9043280182232349,,,22.06660082514297,3.2801822323462413,,,-7.1012472720900774,0.13097949886104754
,,,,,,19.066935342561777,2.9134396355353074,,,,
,,,,,,16.27976806792298,2.4111617312072893,,,,
,,,,,,14.254026156076286,2.2995444191343966,,,,
,,,,,,10.717539863325754,0.8006833712984056,,,,
