"","Species","X","Y"
"1","0","0","0"
"3","8_1","0.3378318595501142","1237.271322266417"
"4","8_1","3.17595030599405","379.57358845141425"
"5","8_1","7.065223732602405","4338.178513751467"
"6","8_1","10.218688673095663","6383.457725156477"
"7","8_1","12.320998633424502","8428.736936561509"
"8","8_1","17.36654253821372","12717.225605636559"
"9","8_1","24.304165407298896","20106.62146619665"
"10","8_1","31.13667277836762","18589.156244831647"
"11","8_1","34.39525321687733","19446.85397864665"
"12","8_1","39.54591261968299","19116.97023487166"
"13","8_1","42.278915568110484","19908.691219931672"
"31","8_2","1.7255341002001074","1171.2945735114045"
"41","8_2","4.562534296665163","2490.829548611422"
"51","8_2","8.461092967480312","5261.852996321453"
"61","8_2","11.427822726104068","8824.597429091504"
"71","8_2","13.701425966908417","15818.132797121594"
"81","8_2","18.819442522015436","15488.24905334659"
"91","8_2","32.4892318146246","22745.69141639668"
"101","8_2","35.82884140048168","22283.85417511168"
"111","8_2","40.90979236640048","18655.132993586623"
"121","8_2","43.58222134686993","23933.2728939867"
"131","8_2","",""
"32","8_3","0.4811656254441914","1369.4032143631484"
"42","8_3","3.4078645477447083","583.2577291979251"
"52","8_3","7.3798130851524775","3465.7911748037295"
"62","8_3","10.306512007452994","6282.812496645769"
"72","8_3","12.50153619917836","10213.539922471871"
"82","8_3","17.518734351693467","11589.294521511008"
"92","8_3","24.417381811401782","18009.48265036031"
"102","8_3","31.31602927111004","13358.12186313275"
"112","8_3","34.556303077942744","18599.091764234225"
"122","8_3","39.6780261919686","20629.967600911048"
"132","8_3","42.18662526822615","23971.08591286323"
"33","8_4","0.5459468852378109","1237.2713222665043"
"43","8_4","3.368120846027608","247.62009094150562"
"53","8_4","7.444594344946125","1699.1085635515337"
"63","8_4","10.162243344225146","6251.504227646583"
"73","8_4","12.56631745897198","7439.085705236605"
"83","8_4","17.583515611487115","11661.597625556664"
"93","8_4","31.17176060788225","19842.714471176776"
"103","8_4","24.377638109684654","21030.295948766783"
"113","8_4","34.51655937622564","17731.458511016754"
"123","8_4","39.63828249025153","17137.66777222175"
"133","8_4","42.14688156650905","20370.52846121679"
"34","8_5","0.5062031835206824","1171.294573511259"
"44","8_5","3.328377144310423","181.64334218624572"
"54","8_5","7.300325681718192","3414.504031181292"
"64","8_5","10.227024604018737","10737.92314298638"
"74","8_5","12.526573757254823","9682.295162906368"
"84","8_5","17.439246948259182","13442.969841941405"
"94","8_5","24.337894407967497","19710.76097366648"
"104","8_5","31.236541867675783","18853.063239851464"
"114","8_5","34.47681567450843","17467.55151599645"
"124","8_5","39.49401382702354","20502.481958726472"
"134","8_5","42.107137864791866","21756.0401850715"
