0,,5,,10,,15,
X,Y,X,Y,X,Y,X,Y
9.696132596685084,7.611803362247081,5.690607734806631,8.766344762303513,4.6869244935543275,9.816104926866124,4.705340699815838,10.409149244086034
9.696132596685084,7.552495289759438,5.699815837937384,8.529094268524673,4.6869244935543275,9.697488781890833,4.705340699815838,10.527765389061322
8.692449355432782,7.692865009511501,4.686924493554328,8.807867694576172,3.6924493554327817,9.481991862888767,4.705340699815838,10.64638153403661
7.70718232044199,7.714582176631747,4.686924493554328,8.649712834609122,3.7016574585635365,9.600589804035792,3.7108655616942903,10.490192687522189
7.70718232044199,7.516888601672936,3.7016574585635347,7.880655701894112,3.7016574585635365,9.738975306506962,3.7108655616942903,10.332037827555139
7.70718232044199,7.358733741705888,3.7016574585635347,7.643423411943539,3.7016574585635365,9.837822093986372,3.7108655616942903,10.094805537604563
4.696132596685084,5.190057069001609,3.6740331491712697,7.4655538059654045,2.6887661141804786,8.950203427780865,2.697974217311234,9.760728881283736
4.696132596685084,5.051671566530443,2.6887661141804786,5.984799803398658,2.6887661141804786,8.811817925309693,2.707182320441989,9.721171962463707
1.712707182320442,4.761029244450109,2.6887661141804786,6.103415948373944,2.6887661141804786,8.57458563535912,2.707182320441989,9.602555817488419
1.712707182320442,4.563335669491298,2.6887661141804786,6.22203209334923,0.6906077348066304,5.57359352671867,1.712707182320442,8.062511946262301
1.712707182320442,4.326103379540726,1.7034990791896873,5.334358815658934,0.6906077348066304,5.415438666751623,1.712707182320442,8.616053956146981
1.712707182320442,4.187717877069558,1.7034990791896873,5.215742670683648,0.6906077348066304,5.316591879272217,1.712707182320442,8.734670101122266
0.018416206261510082,4.250375453957968,1.7034990791896873,5.1168958832042435,0.018416206261510748,4.210836738966206,1.712707182320442,8.873055603593436
0.018416206261510082,4.151528666478564,0.6906077348066308,4.763049869387535,0.018416206261510748,4.151528666478564,0.7090239410681403,6.502716921368567
,,0.6906077348066308,4.664203081908131,,,0.6998158379373851,6.048039902791559
,,0.6906077348066308,4.506048221941082,,,0.009208103130755152,4.270163015282115
,,0.6906077348066308,4.367662719469914,,,,
,,0.009208103130755152,4.210854942794471,,,,
,,0.009208103130755152,3.973622652843895,,,,
