"","Time","PopBio","Temp","Time_units","PopBio_unts","Species","Medium","Rep","Citation"
"15166",270,0.097,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",2,"Smith_et_al"
"15167",300,0.098,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",2,"Smith_et_al"
"15168",330,0.097,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",2,"Smith_et_al"
"15169",360,0.097,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",2,"Smith_et_al"
"15170",390,0.097,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",2,"Smith_et_al"
"15171",420,0.097,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",2,"Smith_et_al"
"15172",450,0.097,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",2,"Smith_et_al"
"15173",480,0.097,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",2,"Smith_et_al"
"15174",510,0.098,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",2,"Smith_et_al"
"15175",540,0.098,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",2,"Smith_et_al"
"15176",570,0.098,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",2,"Smith_et_al"
"15177",600,0.098,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",2,"Smith_et_al"
"15178",630,0.098,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",2,"Smith_et_al"
"15179",660,0.098,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",2,"Smith_et_al"
"15180",690,0.098,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",2,"Smith_et_al"
"15181",720,0.098,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",2,"Smith_et_al"
"15182",750,0.098,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",2,"Smith_et_al"
"15183",780,0.098,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",2,"Smith_et_al"
"15184",810,0.098,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",2,"Smith_et_al"
"15185",840,0.098,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",2,"Smith_et_al"
"15186",870,0.098,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",2,"Smith_et_al"
"15187",900,0.098,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",2,"Smith_et_al"
"15188",930,0.098,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",2,"Smith_et_al"
"15189",960,0.098,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",2,"Smith_et_al"
"15190",990,0.099,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",2,"Smith_et_al"
"15191",1020,0.098,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",2,"Smith_et_al"
"15192",1050,0.098,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",2,"Smith_et_al"
"15193",0,0.096,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",3,"Smith_et_al"
"15194",30,0.095,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",3,"Smith_et_al"
"15195",60,0.095,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",3,"Smith_et_al"
"15196",90,0.096,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",3,"Smith_et_al"
"15197",120,0.096,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",3,"Smith_et_al"
"15198",150,0.096,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",3,"Smith_et_al"
"15199",180,0.096,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",3,"Smith_et_al"
"15200",210,0.096,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",3,"Smith_et_al"
"15201",240,0.096,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",3,"Smith_et_al"
"15202",270,0.095,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",3,"Smith_et_al"
"15203",300,0.096,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",3,"Smith_et_al"
"15204",330,0.096,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",3,"Smith_et_al"
"15205",360,0.096,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",3,"Smith_et_al"
