Glucose_NH4,,Glucose,,NH4,,Control,
X,Y,X,Y,X,Y,X,Y
-0.1124274075740388,0.6481825383214506,2.2474320867795896,0.6716883133343841,4.156850619035492,0.6079431772709083,3.9821746880570412,0.6666666666666667
4.102354179311275,0.6775299593521615,7.926955630737137,0.7520858343337333,14.526524530978943,0.6894411147917814,9.203802733214498,0.6823529411764706
8.895746696947178,0.6944686446006976,13.97633256201031,0.9383048871722601,31.08512010864952,0.7742817126850738,14.551396316102199,0.7058823529411766
13.896650671287802,0.7908581614463968,20.41384139188423,0.9918857865726938,48.533390325827305,0.9108663465386158,30.903149138443254,0.6862745098039216
21.251162724042786,0.9870275382880427,25.244308979002852,1.0028325615960672,8.716577540106954,0.6784313725490194,48.56209150326798,0.8235294117647058
31.21015458525008,1.256098803157627,31.10048694802596,1.0095495340993543,,,,
48.806341584252735,1.0857257188589724,36.82621446847138,1.0371748699479797,,,,
,,42.48449776180869,1.0675562532705392,,,,
,,47.42637096971342,1.0884860896230146,,,,
