4_C,,8_C,,12_C,,16_C,,20_C,,30_C,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.9378663540445018,3.5637050709636213,0.9378663540444734,3.670088049687031,1.4067995310667811,3.882791648998598,96.13130128956618,20.785088922700872,58.147713950761954,21.215671846549114,30.949589683470037,21.112905639669766
22.97772567409143,3.8799231747774527,7.5029308323563555,3.935172482602148,5.158264947244987,5.10569703923581,82.53223915592022,21.265620712878217,52.98944900351694,21.21635778603678,27.66705744431411,21.11334214661646
45.95545134818286,4.196016562320793,23.446658851113682,5.262839540046464,21.570926143024536,8.560961313012957,75.96717467760837,20.46862138634608,48.769050410316424,21.27011049861566,23.446658851113625,21.060711880471942
75.02930832356387,5.149597166446405,31.887456037514596,5.9532064553142305,27.19812426729186,9.624042802624086,73.15357561547472,20.309421067072428,45.01758499413825,21.2174178743359,20.633059788979978,21.114277518645096
98.94490035169986,5.678331795166063,48.3001172332942,7.440385622708405,31.418522860492345,10.740502856002646,70.80890973036333,20.15015838966353,38.9214536928487,21.00546257264724,20.164126611957727,20.52923349380162
168.81594372801865,7.477551071312828,55.33411488862831,8.184131101743592,45.0175849941383,13.504651916889117,60.0234466588511,19.406911775710277,30.949589683470037,20.368224788605936,17.35052754982408,19.572160834102434
237.74912075029297,8.744980170113056,76.43610785463068,9.989835623955553,53.45838218053922,14.833316704497303,57.209847596717395,19.088136988351522,34.701055099648215,20.208151455438895,14.53692848769046,17.498066897807515
313.7162954279014,10.383814322416558,100.35169988276667,11.476017061185853,70.80890973036338,16.4267541343444,52.98944900351694,19.195081190292107,27.667057444314082,18.400576189169662,11.723329425556784,15.955887855129614
383.1184056271982,11.59798957371984,123.79835873388035,13.175026813998198,78.31184056271977,19.830011723329445,46.89331770222739,17.97248759073111,23.915592028135933,17.01809633084735,8.440797186400886,12.286111596118868
,,168.81594372801865,16.466912773440455,94.72450175849934,19.45548876306405,37.51465416178189,16.643947519393407,18.75732708089089,14.093250355441409,6.56506447831174,10.158701454191768
,,192.73153575615467,16.995647402160117,99.88276670574436,19.880334738469998,33.294255568581434,14.78280661495102,15.00586166471274,11.806515177970166,4.220398593200429,7.978162181038197
,,199.7655334114888,17.260669476939988,106.91676436107852,20.145356813249876,29.07385697538095,13.02804868923204,10.785463071512254,9.732608316080967,1.4067995310667811,5.425344840487956
,,221.8053927315357,18.05561098500913,122.86049237983579,20.675151530268657,22.039859320046816,11.007707465516003,7.971864009378635,7.818088847871149,0.46893317702219406,4.574405726971207
,,240.09378663540448,18.797859868798504,128.01875732708086,20.67446559078099,12.192262602579092,7.764336135292272,5.158264947244987,6.222718315831546,-0.46893317702233617,3.723466613454459
,,245.2520515826495,18.903556908034247,,,8.440797186400886,6.8073881918635735,1.875732708089032,4.41464418448038,,
,,264.9472450175849,19.22008680252428,,,6.565064478311797,6.116148262702417,,,,
,,271.5123094958967,19.21921378863089,,,2.8135990621335623,4.2017535107630835,,,,
,,294.95896834701045,19.535244818038983,,,,,,,,
,,310.90269636576784,19.63950762016415,,,,,,,,
,,337.16295427901514,19.848781522037385,,,,,,,,
