Reptiles,,Mammals,
X,Y,X,Y
-0.9509943048902487,-2.4495444460195337,0.8954235330111331,2.6505942999686685
-0.9594809810258456,-3.255778678901258,0.976919198013241,2.1073527308889464
-0.8597389623322047,-2.065616647285271,0.9823412410998724,2.6224468241189367
-0.8631572068868203,-2.390349879973744,1.1230786203485215,2.1836149456074363
-0.8716438830224167,-3.1965841128554686,1.2906197517254316,3.3705473254718203
-0.7045978077534167,-2.056682063242519,1.2788091274367268,2.248538018044753
-0.5794723764792087,-1.9073165632560105,1.4360955251497893,3.3818628936526167
-0.4203177313112949,-1.7472484216984974,1.426972348304023,2.515161093304762
-0.26201764728203436,-1.668363588313106,1.3905857243726514,2.280504498155503
-0.14011008070924014,-1.594547186508695,1.3803899259597472,2.0790638104369545
-0.01731848537232139,-1.2066000036602116,1.571281203759738,3.336211648273215
0.030861082272473972,-1.4626500949012922,1.5623819808675492,2.4907854735152952
0.11752536878216358,-1.2847245723084608,1.6638213347883068,6.603970933134318
0.13968502313622277,-1.481037893195083,1.617073893741396,3.083556227486378
0.2636258558665041,-1.2140612064294256,1.7165565973308938,3.3284911303998594
0.3616646458079309,-1.1062981000826273,1.708659273704713,2.5782453859127
0.36643840113420545,-1.803531586347777,1.7098615528239227,1.7718697084287136
0.5070873775064415,-1.1000214958573409,1.7749614310140638,6.575469845778937
0.4512167596137626,-1.8047692266175517,1.738716251684953,3.1321778095132355
0.553764096252225,-1.2686941840523343,1.8583548110964934,2.9904385309985724
0.6531289293398403,-1.0349569788177657,1.855290178047528,2.69929839134684
0.6568772112997285,-1.5994623864372315,1.7970621501171822,1.770596707008373
0.8119888982530457,-0.902883081457535,1.94487175947883,2.0036266892316448
0.744007086291858,-1.6074540064649199,2.002952449281821,2.9183312514714697
0.9222272851393933,0.5939897831089702,2.0008602478733932,2.719572117670765
0.9461844646471738,-0.8124469388875806,1.9969115860603024,2.344449245427187
0.8960600337213034,-0.9713069078007877,2.1212531784969855,4.0303863950144905
0.9952834222066587,-1.6715991335898117,2.108829627598488,3.7707412534659746
1.0095693270349129,0.6061540189033234,2.10211100899114,3.1324724857679414
1.09325738337205,-0.6494025671575141,2.090913311312228,2.06869120627122
1.1555401565671817,-0.25609227647334265,2.0849019157161806,1.4976086246466647
1.0831205202100875,-1.6124045675440222,2.1606631808016648,2.941227596462298
1.2600146759114361,0.2329170746898761,2.1218543180565916,2.706606362463603
1.2484692602519685,-0.6337493645074161,2.144190778163476,2.5270895880953486
1.1888503603993996,-0.7739916876481558,2.1417154976239265,2.2919379368381794
1.2342305036244667,-1.065839050311192,2.201947324086288,3.4110004817181636
1.2915155675397463,-0.22671894740402543,2.2565213664582515,3.9925735380103298
