4_C,,8_C,,12_C,,16_C,,20_C,,30_C,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
339.68636911942104,10.824175824175846,383.5946924004825,19.065934065934087,145.23522316043437,20.659340659340668,102.29191797346203,21.26373626373627,57.90108564535589,21.318681318681325,33.29312424607963,21.043956043956047
266.3449939686369,9.890109890109908,360.9167671893848,19.12087912087914,128.8299155609168,19.285714285714295,96.50180940892645,20.879120879120883,52.59348612786491,21.318681318681325,29.43305186972256,21.20879120879121
218.57659831121828,9.615384615384631,334.3787696019301,19.065934065934087,122.07478890229194,19.23076923076924,80.57901085645358,20.714285714285722,48.73341375150787,21.208791208791215,25.572979493365523,21.26373626373627
166.46562123039803,7.967032967032978,313.14837153196623,19.01098901098903,101.32689987937277,20.109890109890117,74.30639324487336,20.989010989010996,44.8733413751508,20.989010989010993,22.677925211097744,21.48351648351649
94.0892641737033,5.109890109890124,286.6103739445115,18.84615384615386,96.01930036188179,18.68131868131869,67.06875753920389,20.824175824175832,38.600723763570585,19.010989010989015,18.81785283474065,20.329670329670336
70.92882991556093,4.395604395604405,270.20506634499395,18.791208791208806,83.95657418576602,18.956043956043963,53.558504221954166,20.109890109890117,34.25814234016889,19.340659340659347,12.062726176115802,17.087912087912095
46.80337756332932,4.230769230769237,220.50663449939697,18.29670329670331,59.34861278648978,15.164835164835173,50.18094089264176,19.3956043956044,29.91556091676719,19.61538461538462,7.720144752714134,13.07692307692308
31.36308805790111,4.780219780219788,240.77201447527148,18.516483516483532,51.14595898673102,13.406593406593414,47.76839565741861,18.956043956043963,25.090470446320893,17.307692307692314,5.7901085645356005,10.659340659340668
0.4825090470446298,3.7912087912087955,247.04463208685166,18.626373626373642,32.810615199035,10.329670329670336,28.95054282267793,15.000000000000005,15.92279855247287,13.571428571428577,3.3775633293124514,7.8021978021978065
,,196.86369119420993,18.131868131868146,24.125452352231633,8.461538461538467,24.125452352231633,13.131868131868139,12.062726176115802,10.659340659340664,1.4475271411338895,5.769230769230774
,,174.18576598311222,17.41758241758243,8.685162846803394,5.384615384615394,19.782870928829908,11.483516483516492,7.720144752714134,8.57142857142858,0,3.901098901098905
,,144.27020506634506,14.835164835164845,3.3775633293124514,4.450549450549456,6.75512665862486,6.7032967032967115,4.342581423401711,6.978021978021985,,
,,99.39686369119426,11.75824175824177,0,3.8461538461538503,2.895054282267793,5.219780219780226,-0.4825090470446298,4.890109890109894,,
,,75.27141133896262,9.725274725274733,,,0,4.505494505494511,,,,
,,55.488540410132714,8.186813186813193,,,,,,,,
,,45.83835946924006,7.527472527472536,,,,,,,,
,,30.88057901085648,5.824175824175832,,,,,,,,
,,23.642943305187003,5.439560439560449,,,,,,,,
,,6.27261761158023,4.065934065934073,,,,,,,,
