plate_count_total,,pseodonomads,,brochothrix_thermosphacta,,lactic_acid_bacteria,,enterobacteriaceae,
X,Y,X,Y,X,Y,X,Y,X,Y
1.6459344660194262,5.471148476512041,2.380100522073647,5.474040645823768,0.17760235391098433,4.8624263622208534,3.848432634182103,4.334436460076644,0.685871161948512,3.6977249360366695
50.23045288137237,5.691203748913471,42.75923360505587,5.7173045615178175,48.632562053489636,5.056517619985347,50.100894165598106,5.001701367600531,48.77021818899982,4.341553915051406
98.03761900207968,6.020953766535925,123.51749977102031,6.862975883063555,97.0875217530683,5.060513580947585,96.35335569701408,5.544056623763875,97.25694468908083,4.041613406352685
122.38801353093689,6.8306557610697,139.6691530042132,7.158874408072693,121.36394600659457,5.649090209265608,127.18833005129142,5.81066015746532,121.31500160285765,4.213102428403708
147.0108135647554,7.228824648114754,147.74497962080963,7.248430130646282,144.01296883586735,6.406895143395792,173.4407915827074,6.366146985046538,137.77255735940648,4.0770929695609714
163.8476884502656,7.449045154790255,171.9112789659278,7.442085273527116,168.35810350233203,6.3358746920517035,188.8582787598461,6.434615230045124,169.7699613024363,4.021606577718475
194.77749258678324,8.265789936916102,195.15113066888227,8.28902279656138,191.8438873877999,5.685659862154242,235.84490634731628,7.241023928920351,194.30334367558157,4.099486070131022
211.92332902088287,8.56256568854186,211.61742649752694,8.515887311820347,216.75658888990654,5.904558587421464,266.6798807015936,7.887458022990598,216.75658888990654,4.89956287558613
219.38735059076748,8.634215537129053,219.69325311412342,8.572143712842845,240.98406873969583,6.020138595642924,312.9323422330096,8.03309781820541,240.98406873969583,4.8976198604473025
236.15080887067222,8.782140858114023,237.31323845942472,8.771882034185971,265.2115485894852,6.438786683583407,337.89398813885316,8.431986292295816,265.2115485894852,5.22493457166231
243.41246415587523,8.841843502085478,245.38906507602115,8.904385576432025,289.4390284392745,6.222254911093441,,,289.4390284392745,5.571890608532795
260.720179775977,9.19042761487724,262.0044021340904,9.201924403726045,313.6665082890638,6.418540156491248,,,313.6665082890638,5.120481316746085
267.4599321361512,9.252314924799261,269.6165449258105,9.34473854164932,336.79273905477186,6.992607319907492,,,337.89398813885316,5.831576619421521
284.60576857025086,9.484682182583299,310.4676419019704,9.33286708711695,,,,,,
292.0697901401355,9.493034929212572,339.781843711564,9.772385501988852,,,,,,
309.03561470472187,9.350949803253625,94.41747572815532,6.0457928802589,,,,,,
316.2972699899248,9.393867352079136,288.83495145631065,9.569255663430422,,,,,,
340.1454307107528,9.786014835156449,,,,,,,,
