plate_count_total,,pseudonomads,,brochothrix_thermosphacta,,lactic_acid_bacteria,,enterobacteriaceae,
X,Y,X,Y,X,Y,X,Y,X,Y
1.9991625649438447,4.347680943510859,2.741242620920275,3.331980258617733,1.8274029258955125,3.283475686093958,1.280003900657789,3.3177271551340617,2.380708230790219,2.7883584128414256
9.627578037903959,4.438022808539181,9.671947634673074,3.6234248001919624,8.834512578616227,3.5409790535576704,8.672152720809322,3.548549875645172,9.938559611703454,2.588992857905218
16.708965682253165,4.776707020823004,16.262476073284006,4.09461546363379,14.51710760185938,3.9136501044656598,16.064301540960855,3.860692943708596,16.34365600218746,2.6914669462693865
19.814097962810933,5.259228935252658,22.21671162785799,4.570682706862531,19.387903336067666,4.288643885940171,24.745778643696895,4.071199504067977,19.814097962810933,3.1509287906907204
24.319584016953627,5.85772186516478,26.791512852064443,5.049038775247077,23.6498496035,4.759156682716167,32.951196072863354,4.151393840969028,26.07808453570101,3.589549952110069
25.293743163795398,5.566027413374968,28.7033001777412,5.550702446796414,26.881435234849846,5.045768603416221,40.87159166373681,4.403041457965482,32.51341605140817,3.855017130020549
31.248290948865133,6.0495084262550805,31.602360331082537,5.863789445345368,28.398875444353166,5.528661181484534,45.03121028969417,5.916101469679724,39.62734140005455,4.204164570174964
34.97444968553452,6.409997267465819,37.02931663590368,6.31299021861588,30.77338836477975,5.866032152392215,43.81494394312267,4.735596884613329,44.605341250901006,4.667499954142013
39.72347552638769,7.081698316735572,42.124081995390384,6.988108861117812,35.91381743427473,6.294887875046644,48.79533258135075,5.179931161514006,47.57763364779862,5.570777219792063
45.66456453377077,8.054931946655014,40.81940456658458,6.629526112743232,42.737280386929115,6.9053302377353525,49.465066994804374,5.651727746011826,55.112145799152245,4.768158808293741
47.394978807765824,7.6134268510533225,45.93374008750334,7.867442443973758,40.63674972655167,6.5384255802204265,56.16241112934085,5.081861991248104,56.16241112934085,5.88591407124358
52.801562072737056,8.233153833577681,48.04441823899367,7.532665542296044,46.29904976756893,7.39644539031417,66.26931227782325,5.598346738916195,57.704829778506905,5.228233334852494
53.42258852884868,7.776373107467585,53.848783155591946,7.723587370290183,54.92597836604182,7.0042023874459325,73.92559432253199,6.243964679507279,65.8692111996562,6.433994887064344
61.68772004033349,8.217672181806677,57.38011006289298,7.4870593388675175,57.03915436149839,6.898643821668163,81.45308128773047,6.363148483751626,68.7290641235985,6.764258864723729
58.476039103089875,7.76737531842468,64.1992240907847,7.949096357123771,64.46490385810512,7.187344627288574,87.45727372162969,6.587219376168651,74.52531104730645,7.523859717187584
69.27702864369701,8.545885444437879,62.73798537052221,7.427337475566901,67.9740907847962,7.690925384169933,91.6817523295681,7.064925934974948,75.15851449275351,6.9935483967089525
76.2544435329504,8.89199251783743,68.49161283155581,8.498923502330388,75.15851449275351,7.878281572942498,99.99957273721623,7.036120774234323,82.09939841400046,7.316849510792633
83.87375971717643,9.207372452894742,74.28177126059597,8.717176918246784,83.19532745419735,8.035453268260213,,,88.22370775627712,8.147052837206392
91.55178638569862,9.33396166112265,81.36877905386916,8.918472265800593,91.19560944763464,8.110054551980138,,,86.84842425485363,7.656889336066261
98.68445788897998,9.289614758450213,86.11780489472233,9.262270305475118,98.76313997391708,8.187007081262177,,,95.1100431732608,8.286219201947205
,,94.15461785616617,9.327854604960157,104.01797921793809,8.1606212025955,,,,
,,99.63426305715063,9.28158756020562,,,,,,
