Total_Viable_Cells,,Pseudomonas_spp,,lactic_acid_bacteria,
X,Y,X,Y,X,Y
0.06967641573343863,2.2492493748275013,0.07231092190989186,1.5783284685573769,0.07268727993509971,1.4824826248045007
1.0587453059790746,2.3663719922721125,1.0148619602398656,1.5419973738573347,0.9915277626769932,1.4844396865355804
2.0480400110398356,2.425987103465003,1.980671924527671,1.5823931352296192,2.0045330233258345,1.5057666412973472
3.014075790142766,2.408875358585563,2.9702677160085975,1.5653315714202058,3.0413241111677967,1.469636270877416
5.040763755885822,2.27900674935392,4.996202965701238,1.6271546496943134,5.020365150919568,1.4738514807597412
6.96297473383124,4.755944365920362,6.96440489432703,4.391730159659438,6.951759264680053,1.6121505097560362
8.955338847675362,7.367216706950915,13.927479990298325,7.128605718969279,8.975812724246657,2.1532028067945177
13.946297891558709,8.336313531325532,20.85427417263961,7.105020616056269,13.92115717547484,2.7388158940175806
20.896576814672947,8.331947778233124,,,20.869704851673124,3.1753410221883964
