,ID,loglin,param,value
0,1,log,N0,-2.28254658996996
1,1,log,Nmax,-0.544925041738438
2,1,log,rmax,0.02364700621100626
3,1,log,tlag,0
4,1,lin,N0,0.00521739130434795
5,1,lin,Nmax,0.285151038938362
6,1,lin,rmax,0.031994532442820245
7,1,lin,tlag,0
8,2,log,N0,-1.52921892331135
9,2,log,Nmax,-0.235138780481189
10,2,log,rmax,0.028875114131204846
11,2,log,tlag,0
12,2,lin,N0,0.0295652173913047
13,2,lin,Nmax,0.5819172341540071
14,2,lin,rmax,0.048841660274263544
15,2,lin,tlag,0
16,3,log,N0,-2.28254658996997
17,3,log,Nmax,-0.284460650917039
18,3,log,rmax,0.043813824232088155
19,3,log,tlag,3.9498357643944173
20,3,lin,N0,0.0052173913043478395
21,3,lin,Nmax,0.5194447354635939
22,3,lin,rmax,0.05634315159221283
23,3,lin,tlag,15.375690490501553
24,4,log,N0,-2.28254658996996
25,4,log,Nmax,-0.248372527559192
26,4,log,rmax,0.03396790367892786
27,4,log,tlag,5.302956380622359
28,4,lin,N0,0.00521739130434795
29,4,lin,Nmax,0.564452592980618
30,4,lin,rmax,0.04256377553447008
31,4,lin,tlag,9.917053036283288
32,5,log,N0,-2.95310650439224
33,5,log,Nmax,-2.10820299718381
34,5,log,rmax,0.009421488825218897
35,5,log,tlag,61.91718602005084
36,5,lin,N0,0.00111402130260152
37,5,lin,Nmax,0.00779465688842329
38,5,lin,rmax,0.015484889423316878
39,5,lin,tlag,0
40,6,log,N0,-1.8515131416169
41,6,log,Nmax,-0.39287529259126097
42,6,log,rmax,0.01771612659784349
43,6,log,tlag,0
44,6,lin,N0,0.0140762463343111
45,6,lin,Nmax,0.40469208211143703
46,6,lin,rmax,0.0268124188892764
47,6,lin,tlag,0
48,7,log,N0,-2.27748187388918
49,7,log,Nmax,-0.5477772525770039
50,7,log,rmax,0.028587218851177317
51,7,log,tlag,0
52,7,lin,N0,0.00527859237536665
53,7,lin,Nmax,0.283284457478006
54,7,lin,rmax,0.038966460501064545
55,7,lin,tlag,4.063679646228426
56,8,log,N0,-2.45357313294487
57,8,log,Nmax,-0.767831394342609
58,8,log,rmax,0.02316819482014143
59,8,log,tlag,15.49654464115438
60,8,lin,N0,0.0035190615835777295
61,8,lin,Nmax,0.17067448680351902
62,8,lin,rmax,0.03454905761798501
63,8,lin,tlag,1.60841136339054
64,9,log,N0,-1.7546031286088601
65,9,log,Nmax,-0.8853714088778791
66,9,log,rmax,0.010661732537987115
67,9,log,tlag,1.0344168916124714
68,9,lin,N0,0.0175953079178884
69,9,lin,Nmax,0.130205278592375
70,9,lin,rmax,0.019314680769089043
71,9,lin,tlag,0
72,10,log,N0,-2.05563312427283
73,10,log,Nmax,-0.9552625791552719
74,10,log,rmax,0.016794936799957843
75,10,log,tlag,0
76,10,lin,N0,0.00879765395894438
77,10,lin,Nmax,0.11085043988269802
78,10,lin,rmax,0.0287722469191504
79,10,lin,tlag,0
80,11,log,N0,-2.28254658996999
81,11,log,Nmax,-0.6524578750417621
82,11,log,rmax,0.02581619987229694
83,11,log,tlag,0
84,11,lin,N0,0.00521739130434762
85,11,lin,Nmax,0.22260869565217398
86,11,lin,rmax,0.03672795880177153
87,11,lin,tlag,0.4149741617613259
88,12,log,N0,-2.15760785336168
89,12,log,Nmax,-0.577824256744857
90,12,log,rmax,0.022617939740225593
91,12,log,tlag,0
92,12,lin,N0,0.00695652173913031
93,12,lin,Nmax,0.264347826086957
94,12,lin,rmax,0.03264671092041993
95,12,lin,tlag,0
96,13,log,N0,-1.43744854995571
97,13,log,Nmax,-0.39983236234974195
98,13,log,rmax,0.015668951365191343
99,13,log,tlag,0
100,13,lin,N0,0.0365217391304349
101,13,lin,Nmax,0.39826086956521795
102,13,lin,rmax,0.028579822247768644
103,13,lin,tlag,0
104,14,log,N0,-2.4586378490256298
105,14,log,Nmax,-1.85657785769767
106,14,log,rmax,0.009293117940708407
107,14,log,tlag,352.72383742862854
108,14,lin,N0,0.0034782608695653697
109,14,lin,Nmax,0.0139130434782615
110,14,lin,rmax,0.02646284086951199
111,14,lin,tlag,0
112,15,log,N0,-2.45863784902566
113,15,log,Nmax,-1.43744854995571
114,15,log,rmax,0.014304611244719942
115,15,log,tlag,406.2490272140813
116,15,lin,N0,0.00347826086956515
117,15,lin,Nmax,0.0365217391304353
118,15,lin,rmax,0.012176469073638839
119,15,lin,tlag,52.45672129510968
120,16,log,N0,-2.28254658996999
121,16,log,Nmax,-0.35312766425567604
122,16,log,rmax,0.032587558869311556
123,16,log,tlag,24.124176322591044
124,16,lin,N0,0.00521739130434762
125,16,lin,Nmax,0.443478260869565
126,16,lin,rmax,0.03550305333358546
127,16,lin,tlag,3.593297118553312
128,17,log,N0,-2.7656145011219
129,17,log,Nmax,-1.97850840808534
130,17,log,rmax,0.01176890362601377
131,17,log,tlag,0
132,17,lin,N0,0.0017154793668008401
133,17,lin,Nmax,0.0105073111216549
134,17,lin,rmax,0.028574384990441685
135,17,lin,tlag,0
136,18,log,N0,-1.9032157813991397
137,18,log,Nmax,-1.26766065739911
138,18,log,rmax,0.007337889843692109
139,18,log,tlag,0
140,18,lin,N0,0.01249637987023
141,18,lin,Nmax,0.0539932342085316
142,18,lin,rmax,0.016293355736755492
143,18,lin,tlag,0
144,19,log,N0,-2.7490854434378997
145,19,log,Nmax,-0.807891650935169
146,19,log,rmax,0.021465314658107856
147,19,log,tlag,0
148,19,lin,N0,0.0017820281353406698
149,19,lin,Nmax,0.155635386691478
150,19,lin,rmax,0.029255273471163402
151,19,lin,tlag,0
152,20,log,N0,-2.4586378490256298
153,20,log,Nmax,-1.91456980467535
154,20,log,rmax,0.012634595199609175
155,20,log,tlag,379.80844312406725
156,20,lin,N0,0.0034782608695653697
157,20,lin,Nmax,0.0121739130434788
158,20,lin,rmax,0.05754017304137396
159,20,lin,tlag,0
160,21,log,N0,-3.84106787465061
161,21,log,Nmax,-2.10477354729046
162,21,log,rmax,0.029700230482848203
163,21,log,tlag,467.7092402265372
164,21,lin,N0,0.00014418899850255
165,21,lin,Nmax,0.00785645184149075
166,21,lin,rmax,0.02613755828905534
167,21,lin,tlag,40.967763874505756
168,22,log,N0,-1.79404275969229
169,22,log,Nmax,-0.495442845344522
170,22,log,rmax,0.013597285524309784
171,22,log,tlag,0
172,22,lin,N0,0.0160678304485264
173,22,lin,Nmax,0.319563489373764
174,22,lin,rmax,0.021901636885279126
175,22,lin,tlag,0
176,23,log,N0,-2.09691001300804
177,23,log,Nmax,-0.473660722610156
178,23,log,rmax,0.0373982210279711
179,23,log,tlag,0
180,23,lin,N0,0.00800000000000023
181,23,lin,Nmax,0.336
182,23,lin,rmax,0.05666800701624994
183,23,lin,tlag,0
184,24,log,N0,-1.57403126772772
185,24,log,Nmax,-0.0661753960318878
186,24,log,rmax,0.3286751370784908
187,24,log,tlag,0.31430599675162113
188,24,lin,N0,0.0266666666666668
189,24,lin,Nmax,0.858666666666667
190,24,lin,rmax,0.4024494489203024
191,24,lin,tlag,0
192,25,log,N0,-1.7958800173440803
193,25,log,Nmax,-0.154075519237961
194,25,log,rmax,0.07900339032749855
195,25,log,tlag,0
196,25,lin,N0,0.016
197,25,lin,Nmax,0.701333333333334
198,25,lin,rmax,0.14597239282017102
199,25,lin,tlag,3.5550834563843408
200,26,log,N0,-1.9719712763997501
